R0, AKT2_[PI]_i+_PI_[PH]
S70, TSC2_[(Ser981)]-{p}
S71, TSC2_[(Thr1462)]-{0}
S72, TSC2_[(Thr1462)]-{p}
S73, TSC2_[Nterminus]--0
S74, [EIF4EBP1]
S75, [IR]
S76, [Raptor]
S77, [activatedIR]
S78, [activatedPI3K]
S79, [eIF4E]
S80, [eIF4G]
S81, [insulin]
S82, [mTOR]
S83, eIF4E_[A001]--0
S84, eIF4E_[A001]--eIF4G_[A002]
S85, eIF4G_[A002]--0
S86, insulin_[IR]--0
S87, mTORC1
S88, mTORC2
S89, mTOR_[FATfα2fα3]--0
S90, mTOR_[Mheatmα2mα3mα4]--0
S91, mTOR_[Nheatnα3tonα7]--0
S92, mTOR_[Raptor]--0
S93, unk
